;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
0;56.900;Ford;Focus;Sedan Focus Se At 2.0 Sb;57.000;2015;MG;Centro - Belo Horizonte;Vazio
1;59.900;Chevrolet;Cobalt;Elite 1.8 8v Econo. Flex 4p Aut;222.000;2018;MG;Centro - Belo Horizonte;Vazio
2;59.900;Hyundai;Tucson;Glsb;76.000;2015;MG;Venda Nova - Belo Horizonte;Vazio
3;68.900;Hyundai;Hb20x;Hb20 X 1.6 16v Style Automatico;67.534;2017;MG;Venda Nova - Belo Horizonte;Vazio
4;67.900;Chevrolet;Cobalt;1.8 Elite Aut. 4p;74.000;2018;MG;Betânia - Belo Horizonte;Vazio
5;69.900;Renault;Duster;4x4 Dynamique 2.0 Mt Flex;100.418;2018;MG;Belo Horizonte;Vazio
6;89.900;Volkswagen;Virtus;Tsi 1.0 Highline Flex;39.438;2019;MG;Belo Horizonte;Vazio
7;59.900;Toyota;Etios;1.5 X Plus 16v 4p;83.569;2019;MG;Jardim Cidade - Betim;Vazio
8;60.900;Toyota;Etios;Platinum Hatch 1.5 Flex 16v 4p Aut;72.880;2018;MG;Venda Nova - Belo Horizonte;Vazio
9;67.900;Fiat;Strada;1.4 Mpi Working Cd 8v Flex 3p Manual;110.064;2016;MG;Belo Horizonte;Vazio
10;66.900;Fiat;Strada;1.4 Mpi Working Cd 8v Flex 3p Manual;160.010;2016;MG;Belo Horizonte;Vazio
11;66.900;Fiat;Strada;1.4 Mpi Working Cd 8v Flex 3p Manual;160.010;2016;MG;Belo Horizonte;Vazio
12;89.900;Renault;Captur;1.6 16v Sce Flex Intense X-tronic;54.022;2019;MG;Belo Horizonte;Vazio
13;89.900;Jeep;Renegade;1.8 16v Flex Sport 4p Automático;45.000;2019;MG;Belo Horizonte;Vazio
14;55.900;Hyundai;Hb20;1.0 Comfort 12v Flex 4p Manual;62.800;2018;MG;Belo Horizonte;Vazio
15;70.900;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;91.441;2018;MG;Belo Horizonte;Vazio
16;63.900;Peugeot;2008;1.6 16v Flex Griffe 4p Manual;87.559;2016;MG;Belo Horizonte;Vazio
17;72.900;Fiat;Strada;1.8 Mpi Adventure Cd 16v Flex 3p Manual;113.197;2016;MG;Belo Horizonte;Vazio
18;72.900;Fiat;Strada;1.8 Mpi Adventure Cd 16v Flex 3p Manual;113.197;2016;MG;Belo Horizonte;Vazio
19;74.900;Volkswagen;Saveiro;1.6 Cross Cd 16v Flex 2p Manual;88.239;2015;MG;Belo Horizonte;Vazio
20;89.900;Renault;Duster;Oroch 2.0 16v Hi-flex Dynamique Automático;65.522;2019;MG;Belo Horizonte;Vazio
21;89.900;Renault;Duster;Oroch 2.0 16v Hi-flex Dynamique Automático;65.522;2019;MG;Belo Horizonte;Vazio
22;63.900;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;91.743;2016;MG;Belo Horizonte;Vazio
23;89.900;Nissan;Kicks;Kicks 1.6 16v Flex Sl 4p Xtronic;82.000;2018;MG;Itajubá;Vazio
24;73.890;Fiat;Fiorino;Hard Work 1.4 Flex;65.591;2020;MG;Belo Horizonte;Vazio
25;72.999;Fiat;Fiorino;1.4 Hard Working Flex 4p;83.600;2020;MG;Betânia - Belo Horizonte;Vazio
26;63.900;Ford;Ecosport;Se 1.6b;108.000;2017;MG;Venda Nova - Belo Horizonte;Vazio
27;55.900;Citroën;Aircross;Aircross Live Mt;60.000;2018;MG;Suzana - Belo Horizonte;Vazio
28;56.900;Hyundai;Tucson;Tucson Glsb;74.000;2016;MG;Suzana - Belo Horizonte;Vazio
29;86.900;Ford;Ecosport;Ecosport Freestyle At;13.000;2020;MG;Suzana - Belo Horizonte;Vazio
30;59.900;Chevrolet;Cobalt;Cobalt 18m Ltz;94.000;2019;MG;Suzana - Belo Horizonte;Vazio
31;72.900;Chevrolet;Prisma;1.4 Mpfi Ltz 8v;79.000;2019;MG;Betim;Vazio
32;72.900;Chevrolet;Prisma;1.4 Mpfi Ltz 8v;79.000;2019;MG;Contagem;Vazio
33;87.970;Chevrolet;Spin;1.8l At Ltz;62.000;2019;MG;Estoril - Belo Horizonte;Vazio
34;61.990;Hyundai;Hb20;1.0 Comfort Plus Turbo Flex 5p;29.500;2019;MG;Barro Preto - Belo Horizonte;Vazio
35;59.890;Chevrolet;Onix;Ltz 1.4 Mpfi 8v 4p Mec.;79.957;2017;MG;Carlos Prates - Belo Horizonte;Vazio
36;59.900;Chevrolet;Onix;1.0 Mpfi Lt 8v Flex 4p Manual;67.768;2019;MG;Ipatinga;Vazio
37;67.900;Chevrolet;Prisma;1.4 Mec. Lt;63.448;2019;MG;Belo Horizonte;Vazio
38;72.990;Chevrolet;Onix;1.4 Mpfi Ltz 8v Flex 4p Manual;30.000;2019;MG;Belo Horizonte;Vazio
39;75.900;Fiat;Strada;1.4 Mpi Hard Working Cd 8v Flex 3p Manual;52.000;2020;MG;Prado - Belo Horizonte;Vazio
40;60.990;Chevrolet;Onix;1.0 Mpfi Lt 8v Flex 4p Manual;18.000;2019;MG;Belo Horizonte;Vazio
41;87.990;Renault;Captur;1.6 16v Sce Flex Intense X-tronic;65.000;2018;MG;Divinópolis;Vazio
42;55.900;Ford;Ka;1.0 Ti-vct Flex Se Manual;42.227;2021;MG;Contagem;Vazio
43;60.430;Ford;Ka;1.0 Ti-vct Flex Se Sedan Manual;69.357;2021;MG;Vila Cloris - Belo Horizonte;Vazio
44;56.900;Ford;Ka;1.0 Ti-vct Flex Se Manual;37.434;2021;MG;Contagem;Vazio
45;89.900;Toyota;Corolla;2.0 Xei 16v Flex 4p Automático;73.500;2016;MG;Pouso Alegre;Vazio
46;86.900;Jeep;Renegade;1.8 16v Flex Longitude 4p Automático;58.000;2016;MG;Pouso Alegre;Vazio
47;89.900;Hyundai;Creta;2.0 16v Flex Prestige Automatico;100.921;2017;MG;Brasil - Uberlândia;Vazio
48;72.990;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;45.000;2018;MG;Belo Horizonte;Vazio
49;56.900;Hyundai;Hb20;1.0 Unique 12v Flex 4p Manual;46.586;2019;MG;Brasil - Uberlândia;Vazio
50;89.900;Fiat;Toro;1.8 16v Evo Flex Freedom At6;51.694;2017;MG;Barreiro - Belo Horizonte;Vazio
51;83.900;Ford;Ecosport;1.5 Tivct Flex Freestyle Manual;28.221;2020;MG;Pouso Alegre;Vazio
52;63.900;Chevrolet;Montana;1.4 Mpfi Ls Cs 8v Flex 2p Manual;28.421;2019;MG;Varginha;Vazio
53;89.900;Toyota;Corolla;2.0 Xei 16v Flex 4p Automático;73.500;2016;MG;Varginha;Vazio
54;70.900;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;37.500;2019;MG;Varginha;Vazio
55;60.900;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;34.000;2019;MG;Varginha;Vazio
56;72.900;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Manual;45.410;2019;MG;Padre Eustáquio - Belo Horizonte;Vazio
57;57.900;Hyundai;Hb20;1.6 Premium 16v Flex 4p Manual;110.922;2015;MG;Padre Eustáquio - Belo Horizonte;Vazio
58;65.900;Volkswagen;Saveiro;1.6 Cross Ce 16v Flex 2p Manual;134.032;2015;MG;Padre Eustáquio - Belo Horizonte;Vazio
59;70.900;Volkswagen;Saveiro;1.6 Mi Highline Cd 8v Flex 2p Manual;127.513;2016;MG;Padre Eustáquio - Belo Horizonte;Vazio
60;57.650;Chevrolet;Onix;1.0 Mpfi Lt 8v Flex 4p Manual;76.011;2019;MG;Vila Cloris - Belo Horizonte;Vazio
61;89.990;Volkswagen;Saveiro;1.6 Cross Cd 16v Flex 2p Manual;61.500;2018;MG;Betânia - Belo Horizonte;Vazio
62;79.990;Jeep;Renegade;1.8 16v Flex Longitude 4p Automático;79.000;2016;MG;Betânia - Belo Horizonte;Vazio
63;80.990;Fiat;Doblo;1.8 Mpi Essence 7l 16v Flex 4p Manual;30.000;2020;MG;Belo Horizonte;Vazio
64;65.990;Honda;City;1.5 Dx 16v Flex 4p Manual;65.000;2016;MG;Belo Horizonte;Vazio
65;72.990;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;50.000;2019;MG;Belo Horizonte;Vazio
66;65.990;Volkswagen;Saveiro;1.6 Cross Ce 16v Flex 2p Manual;145.000;2015;MG;Betânia - Belo Horizonte;Vazio
67;89.900;Toyota;Corolla;2.0 Xei 16v Flex 4p Automático;73.500;2016;MG;Sete Lagoas;Vazio
68;81.900;Volkswagen;Saveiro;1.6 Msi Robust Cd 8v Flex 2p Manual;49.782;2021;MG;Prado - Belo Horizonte;Vazio
69;74.900;Honda;Civic;2.0 Lxr 16v Flex 4p Automático;126.560;2015;MG;Padre Eustáquio - Belo Horizonte;Vazio
70;89.900;Renault;Captur;1.6 16v Sce Flex Intense X-tronic;94.423;2019;MG;Sete Lagoas;Vazio
71;68.990;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;27.700;2019;MG;Betânia - Belo Horizonte;Vazio
72;60.900;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;34.000;2019;MG;Sete Lagoas;Vazio
73;81.900;Chevrolet;Onix;1.0 Turbo Flex Ltz Manual;13.924;2021;MG;Sete Lagoas;Vazio
74;81.990;Jeep;Renegade;1.8 16v Flex Longitude 4p Automático;80.588;2016;MG;Pouso Alegre;Vazio
75;86.990;Jeep;Renegade;1.8 16v Flex Sport 4p Automático;53.000;2018;MG;Betânia - Belo Horizonte;Vazio
76;84.900;Volkswagen;Virtus;1.0 200 Tsi Comfortline Automático;51.205;2020;MG;Padre Eustáquio - Belo Horizonte;Vazio
